id,message,true_intent,expected_action,expected_reply_points,notes
gold_138,@AppleSupport AirPods automatic device switching between iPad and Mac not working.,accessory_connectivity,AUTO-HANDLE,Verify 'Connect to this Mac/iPad' setting is set to Automatically on both devices.,candidate_for_human_verification - Curated AppleSupport domain example
gold_139,@AppleSupport HomePod mini not responding in Home app and shows 'Not Responding'.,accessory_connectivity,AUTO-HANDLE,"Unplug HomePod mini power adapter, wait 10 seconds, and plug back in.",candidate_for_human_verification - Curated AppleSupport domain example
gold_140,@AppleSupport Siri remote for Apple TV 4K not scrolling or responding.,accessory_connectivity,AUTO-HANDLE,Reset Siri Remote by pressing TV and Volume Down buttons simultaneously for 5 seconds.,candidate_for_human_verification - Curated AppleSupport domain example
gold_141,@AppleSupport AirPods battery status popup not appearing on iPhone screen.,accessory_connectivity,AUTO-HANDLE,Ensure Bluetooth is enabled; open AirPods case lid close to unlocked iPhone.,candidate_for_human_verification - Curated AppleSupport domain example
gold_142,@AppleSupport Apple Watch heart rate monitor LED lights turned off.,accessory_connectivity,AUTO-HANDLE,Verify Heart Rate privacy setting under Settings > Privacy > Health > Heart Rate.,candidate_for_human_verification - Curated AppleSupport domain example
gold_143,@AppleSupport Smart Keyboard Folio keys failing to type on iPad Pro.,accessory_connectivity,AUTO-HANDLE,Clean Smart Connector contact dots on back of iPad with micro-fiber cloth.,candidate_for_human_verification - Curated AppleSupport domain example
gold_144,@AppleSupport AirTag Precision Finding arrow not showing on iPhone 11.,accessory_connectivity,AUTO-HANDLE,Precision Finding requires Ultra Wideband chip; ensure Location Services are ON.,candidate_for_human_verification - Curated AppleSupport domain example
gold_145,@AppleSupport AirPods audio volume very low in left ear compared to right ear.,accessory_connectivity,AUTO-HANDLE,Check Audio Balance slider under Settings > Accessibility > Audio/Visual.,candidate_for_human_verification - Curated AppleSupport domain example
gold_146,@AppleSupport Apple Watch workout app GPS route tracking inaccurate.,accessory_connectivity,AUTO-HANDLE,Calibrate Apple Watch by completing 20-minute outdoor walk or run.,candidate_for_human_verification - Curated AppleSupport domain example
gold_147,@AppleSupport MagSafe Duo Charger folding hinge tearing near seam.,accessory_connectivity,AUTO-HANDLE,Inspect physical cable/hinge wear; visit Apple Store for accessory replacement.,candidate_for_human_verification - Curated AppleSupport domain example
gold_148,@AppleSupport AirPods mic picking up heavy wind noise during phone calls.,accessory_connectivity,AUTO-HANDLE,Set Microphone selection setting to Always Left or Always Right ear.,candidate_for_human_verification - Curated AppleSupport domain example
gold_149,@AppleSupport Apple Pencil 1st gen won't charge when plugged into iPad port.,accessory_connectivity,AUTO-HANDLE,Use Lightning adapter connector to charge Pencil directly from wall cable.,candidate_for_human_verification - Curated AppleSupport domain example
gold_150,@AppleSupport Beats Fit Pro wingtips tearing after 6 months of active workouts.,accessory_connectivity,AUTO-HANDLE,Replace wingtip accessories or visit Beats service channel.,candidate_for_human_verification - Curated AppleSupport domain example
gold_151,@AppleSupport How can I book an in-person Genius Bar appointment at Fifth Avenue Apple Store?,repair_store_genius,AUTO-HANDLE,Book via support.apple.com or Apple Support iOS app under Store Appointments.,candidate_for_human_verification - Curated AppleSupport domain example
gold_152,@AppleSupport My repair status for dispatch ID R987234 has not updated in 5 business days.,repair_store_genius,ESCALATE,Escalate to repair logistics team; check status at mysupport.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_153,@AppleSupport How do I cancel my Genius Bar appointment scheduled for tomorrow?,repair_store_genius,AUTO-HANDLE,Manage or cancel appointments via Apple Support app or confirmation email.,candidate_for_human_verification - Curated AppleSupport domain example
gold_154,@AppleSupport Is trade-in available at Apple Store without original product box?,repair_store_genius,AUTO-HANDLE,"Yes, original box is not required for trade-in evaluation.",candidate_for_human_verification - Curated AppleSupport domain example
gold_155,@AppleSupport What documents do I need to bring for an in-store Genius Bar appointment?,repair_store_genius,AUTO-HANDLE,"Bring valid government photo ID, device, and back up data prior to appointment.",candidate_for_human_verification - Curated AppleSupport domain example
gold_156,@AppleSupport Shipped phone for mail-in screen repair 2 weeks ago but tracking says pending delivery.,repair_store_genius,ESCALATE,Escalate to Apple Repair Mail-in Logistics team to track shipment.,candidate_for_human_verification - Curated AppleSupport domain example
gold_157,@AppleSupport Can I send someone else to pick up my repaired MacBook at Apple Store?,repair_store_genius,AUTO-HANDLE,Authorized pick-up person must be added to repair order and bring photo ID.,candidate_for_human_verification - Curated AppleSupport domain example
gold_158,@AppleSupport How long does an in-store iPhone screen replacement usually take?,repair_store_genius,AUTO-HANDLE,Same-day screen repairs typically take 1 to 2 hours depending on store store load.,candidate_for_human_verification - Curated AppleSupport domain example
gold_159,@AppleSupport Apple Store technician lost my original SIM tray during battery repair.,repair_store_genius,ESCALATE,Escalate to Store Service Manager for replacement SIM tray dispatch.,candidate_for_human_verification - Curated AppleSupport domain example
gold_160,@AppleSupport How do I find an Apple Authorized Service Provider near me?,repair_store_genius,AUTO-HANDLE,Search authorized service locations at locate.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_161,@AppleSupport Do I need to turn off Find My before submitting phone for repair?,repair_store_genius,AUTO-HANDLE,"Yes, Find My must be turned OFF before technician service can begin.",candidate_for_human_verification - Curated AppleSupport domain example
gold_162,@AppleSupport Received repaired phone from depot but back camera is broken now.,repair_store_genius,ESCALATE,Escalate to Repair Quality Assurance team for re-repair inspection.,candidate_for_human_verification - Curated AppleSupport domain example
gold_163,@AppleSupport How do I check if my device is eligible for Self Service Repair program?,repair_store_genius,AUTO-HANDLE,Check manual and genuine parts eligibility at selfservicerepair.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_164,@AppleSupport Can I reschedule my Genius Bar reservation to next weekend?,repair_store_genius,AUTO-HANDLE,Reschedule appointment time via Apple Support app or support website.,candidate_for_human_verification - Curated AppleSupport domain example
gold_165,@AppleSupport Quote for MacBook logic board repair is higher than original estimate.,repair_store_genius,ESCALATE,Escalate to Repair Service Representative to review cost estimate breakdown.,candidate_for_human_verification - Curated AppleSupport domain example
gold_166,@AppleSupport What is the cost of battery replacement for iPhone 12 out of warranty?,repair_store_genius,AUTO-HANDLE,Check estimated repair pricing at apple.com/support/repair/cost.,candidate_for_human_verification - Curated AppleSupport domain example
gold_167,@AppleSupport Can I drop off my iPhone for repair without an advance reservation?,repair_store_genius,AUTO-HANDLE,Walk-ins accepted based on availability; advance appointment strongly recommended.,candidate_for_human_verification - Curated AppleSupport domain example
gold_168,@AppleSupport Service center holds my iPad for 3 weeks without spare part ETA.,repair_store_genius,ESCALATE,Escalate to Senior Repair Support Supervisor for parts expedited delivery.,candidate_for_human_verification - Curated AppleSupport domain example
gold_169,@AppleSupport How do I prepare my Mac before bringing it into Genius Bar?,repair_store_genius,AUTO-HANDLE,Back up data via Time Machine; turn off FileVault password lock.,candidate_for_human_verification - Curated AppleSupport domain example
gold_170,@AppleSupport Does Apple Store offer loaner phones during multi-day repairs?,repair_store_genius,AUTO-HANDLE,Loaner phones subject to store availability for eligible AppleCare+ repairs.,candidate_for_human_verification - Curated AppleSupport domain example
gold_171,@AppleSupport Store closed early due to weather emergency during my repair pick-up time.,repair_store_genius,ESCALATE,Escalate to Customer Support to reschedule pick-up window.,candidate_for_human_verification - Curated AppleSupport domain example
gold_172,@AppleSupport Can I trade in a broken iPhone with cracked screen for store credit?,repair_store_genius,AUTO-HANDLE,Cracked devices evaluated for reduced trade-in value or free recycling.,candidate_for_human_verification - Curated AppleSupport domain example
gold_173,@AppleSupport How do I check warranty coverage status using my serial number?,repair_store_genius,AUTO-HANDLE,Check coverage details at checkcoverage.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_174,@AppleSupport Mail-in repair box was damaged during courier transit to depot.,repair_store_genius,ESCALATE,Initiate damaged transit claim with shipping carrier and repair depot.,candidate_for_human_verification - Curated AppleSupport domain example
gold_175,@AppleSupport Where can I buy official Apple screen protector installation service?,repair_store_genius,AUTO-HANDLE,Belkin screen protector installation service available at official Apple Retail Stores.,candidate_for_human_verification - Curated AppleSupport domain example
gold_176,@AppleSupport Is the 2nd generation Apple Pencil compatible with the new iPad Air 5th Gen?,general_inquiry,AUTO-HANDLE,"Yes, Apple Pencil 2nd gen is fully compatible with iPad Air 5th gen.",candidate_for_human_verification - Curated AppleSupport domain example
gold_177,@AppleSupport What are the holiday opening hours for Apple Store in Regent Street London?,general_inquiry,AUTO-HANDLE,Check local store hours online at apple.com/retail/regentstreet.,candidate_for_human_verification - Curated AppleSupport domain example
gold_178,@AppleSupport Does iPhone 15 support dual eSIM functionality?,general_inquiry,AUTO-HANDLE,"Yes, iPhone 15 models support Dual eSIM with multiple active profiles.",candidate_for_human_verification - Curated AppleSupport domain example
gold_179,@AppleSupport What is the warranty coverage duration for newly purchased MacBooks?,general_inquiry,AUTO-HANDLE,Includes 1-year limited hardware warranty and 90 days complimentary support.,candidate_for_human_verification - Curated AppleSupport domain example
gold_180,@AppleSupport What is the water resistance IP rating for iPhone 15 Pro?,general_inquiry,AUTO-HANDLE,IP68 rated under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes).,candidate_for_human_verification - Curated AppleSupport domain example
gold_181,@AppleSupport Does AppleCare+ cover international repairs when traveling abroad?,general_inquiry,AUTO-HANDLE,AppleCare+ provides global repair coverage in countries where service is available.,candidate_for_human_verification - Curated AppleSupport domain example
gold_182,@AppleSupport Can I use 30W USB-C charger from MacBook Air to charge my iPhone?,general_inquiry,AUTO-HANDLE,"Yes, Apple USB-C power adapters safely fast-charge compatible iPhone models.",candidate_for_human_verification - Curated AppleSupport domain example
gold_183,@AppleSupport What is the difference between AppleCare+ and standard 1-year Warranty?,general_inquiry,AUTO-HANDLE,AppleCare+ adds accidental damage protection and 24/7 priority technical support.,candidate_for_human_verification - Curated AppleSupport domain example
gold_184,@AppleSupport How many external monitors can I connect to MacBook Pro with M3 chip?,general_inquiry,AUTO-HANDLE,M3 MacBook Pro supports one external display up to 6K resolution at 60Hz.,candidate_for_human_verification - Curated AppleSupport domain example
gold_185,@AppleSupport Is MagSafe charging compatible with iPhone 11 model?,general_inquiry,AUTO-HANDLE,iPhone 11 supports Qi wireless charging; MagSafe magnetic alignment starts with iPhone 12.,candidate_for_human_verification - Curated AppleSupport domain example
gold_186,@AppleSupport Does iPad 10th generation support Stage Manager multitasking?,general_inquiry,AUTO-HANDLE,Stage Manager is supported on iPad models with M1 chip or later and iPad Air 5th gen.,candidate_for_human_verification - Curated AppleSupport domain example
gold_187,@AppleSupport What audio codecs do AirPods Pro 2 support for lossless listening?,general_inquiry,AUTO-HANDLE,AirPods Pro 2 support AAC codec and low-latency Lossless Audio with Vision Pro.,candidate_for_human_verification - Curated AppleSupport domain example
gold_188,@AppleSupport Can I transfer physical SIM card to eSIM on iPhone 15?,general_inquiry,AUTO-HANDLE,"Yes, convert physical SIM to eSIM via Settings > Cellular > Convert to eSIM.",candidate_for_human_verification - Curated AppleSupport domain example
gold_189,@AppleSupport What is the maximum storage capacity available for iPhone 15 Pro Max?,general_inquiry,AUTO-HANDLE,"Available in 256GB, 512GB, and 1TB storage configurations.",candidate_for_human_verification - Curated AppleSupport domain example
gold_190,@AppleSupport Does Apple offer educational student discount pricing on MacBooks?,general_inquiry,AUTO-HANDLE,"Yes, verified students and educators receive discount pricing at apple.com/us-hed/shop.",candidate_for_human_verification - Curated AppleSupport domain example
gold_191,@AppleSupport How to enable Action Button customization on iPhone 15 Pro?,general_inquiry,AUTO-HANDLE,Configure Action Button under Settings > Action Button.,candidate_for_human_verification - Curated AppleSupport domain example
gold_192,@AppleSupport Is Apple Card credit card available for international residents outside US?,general_inquiry,AUTO-HANDLE,Apple Card is currently available exclusively to eligible United States residents.,candidate_for_human_verification - Curated AppleSupport domain example
gold_193,@AppleSupport Does Apple Fitness+ require an Apple Watch to subscribe?,general_inquiry,AUTO-HANDLE,Apple Fitness+ can be used with just an iPhone on iOS 16.1 or later.,candidate_for_human_verification - Curated AppleSupport domain example
gold_194,@AppleSupport What is the battery video playback battery life specification for Mac Studio?,general_inquiry,AUTO-HANDLE,Mac Studio is a desktop computer powered via direct AC outlet plug.,candidate_for_human_verification - Curated AppleSupport domain example
gold_195,@AppleSupport Can I use Apple Pay in web browser on Windows PC?,general_inquiry,AUTO-HANDLE,"Apple Pay on web requires Safari browser on iPhone, iPad, or Mac.",candidate_for_human_verification - Curated AppleSupport domain example
gold_196,@AppleSupport What cable connector is included in box with iPhone 15?,general_inquiry,AUTO-HANDLE,Includes a 1-meter USB-C Charge Cable in the box.,candidate_for_human_verification - Curated AppleSupport domain example
gold_197,@AppleSupport Does Apple Vision Pro support prescription lens inserts?,general_inquiry,AUTO-HANDLE,ZEISS Optical Inserts available for prescription vision correction.,candidate_for_human_verification - Curated AppleSupport domain example
gold_198,@AppleSupport What is the weight difference between iPhone 14 Pro and iPhone 15 Pro?,general_inquiry,AUTO-HANDLE,iPhone 15 Pro is ~19 grams lighter due to grade 5 titanium frame.,candidate_for_human_verification - Curated AppleSupport domain example
gold_199,@AppleSupport Can I use AirTag to track my pet dog?,general_inquiry,AUTO-HANDLE,AirTag is designed for tracking items and personal property.,candidate_for_human_verification - Curated AppleSupport domain example
gold_200,@AppleSupport How do I check trade-in estimated value for my old iPhone 12?,general_inquiry,AUTO-HANDLE,Check trade-in estimate value online at apple.com/shop/trade-in.,candidate_for_human_verification - Curated AppleSupport domain example
